sample_id,token_count,path_count,unique_colors,has_gradient,has_css_class,has_js,has_defs,valid_xml
yd-vector-000000.tar::1.svg,230,2,0,False,False,False,False,True
yd-vector-000000.tar::10.svg,1676,4,3,False,True,False,False,True
yd-vector-000000.tar::100.svg,159,1,1,False,False,False,False,True
yd-vector-000000.tar::1000.svg,848,6,2,False,False,False,False,True
yd-vector-000000.tar::10000.svg,625,1,0,False,False,False,False,True
yd-vector-000000.tar::100000.svg,670,1,1,False,True,False,False,True
yd-vector-000000.tar::1000000.svg,751,5,0,False,False,False,True,True
yd-vector-000000.tar::1000001.svg,3376,23,14,False,False,False,False,True
yd-vector-000000.tar::1000002.svg,190,1,0,False,False,False,False,True
yd-vector-000000.tar::1000003.svg,375,1,1,False,True,False,False,True
yd-vector-000000.tar::1000004.svg,379,1,1,False,False,False,False,True
yd-vector-000000.tar::1000005.svg,191,1,1,False,False,False,False,True
yd-vector-000000.tar::1000006.svg,360,2,1,False,True,False,False,True
yd-vector-000000.tar::1000007.svg,3796,10,10,False,True,False,True,True
yd-vector-000000.tar::1000008.svg,168,1,0,False,False,False,False,True
yd-vector-000000.tar::1000009.svg,340,1,0,False,False,False,False,True
yd-vector-000000.tar::100001.svg,369,1,1,False,False,False,False,True
yd-vector-000000.tar::1000010.svg,820,2,1,False,False,False,True,True
yd-vector-000000.tar::1000011.svg,1206,11,13,False,True,False,False,True
yd-vector-000000.tar::1000012.svg,1515,9,5,False,False,False,False,True
yd-vector-000000.tar::1000013.svg,3902,17,2,True,False,False,True,True
yd-vector-000000.tar::1000014.svg,1181,3,3,True,False,False,True,True
yd-vector-000000.tar::1000015.svg,466,2,1,False,False,False,False,True
yd-vector-000000.tar::1000016.svg,336,1,0,False,False,False,False,True
yd-vector-000000.tar::1000017.svg,2486,7,4,False,True,False,False,True
yd-vector-000000.tar::1000018.svg,399,2,0,False,False,False,False,True
yd-vector-000000.tar::1000019.svg,1108,6,1,True,False,False,True,True
yd-vector-000000.tar::100002.svg,243,1,1,False,False,False,False,True
yd-vector-000000.tar::1000020.svg,202,1,1,False,True,False,True,True
yd-vector-000000.tar::1000021.svg,230,1,0,False,False,False,False,True
yd-vector-000000.tar::1000022.svg,1883,10,3,True,False,False,True,True
yd-vector-000000.tar::1000023.svg,1414,7,7,False,False,False,True,True
yd-vector-000000.tar::1000024.svg,720,4,1,False,False,False,False,True
yd-vector-000000.tar::1000025.svg,3839,27,16,False,False,False,False,True
yd-vector-000000.tar::1000026.svg,1161,6,4,False,False,False,False,True
yd-vector-000000.tar::1000027.svg,211,4,4,False,False,False,False,True
yd-vector-000000.tar::1000028.svg,2050,7,2,False,False,False,True,True
yd-vector-000000.tar::1000029.svg,2649,2,1,False,True,False,False,True
yd-vector-000000.tar::100003.svg,79,1,0,False,False,False,False,True
yd-vector-000000.tar::1000030.svg,315,2,0,False,False,False,False,True
yd-vector-000000.tar::1000031.svg,230,1,1,False,False,False,False,True
yd-vector-000000.tar::1000032.svg,138,1,0,False,False,False,False,True
yd-vector-000000.tar::1000033.svg,553,1,1,False,False,False,False,True
yd-vector-000000.tar::1000034.svg,78,1,0,False,True,False,False,True
yd-vector-000000.tar::1000035.svg,3266,5,1,False,True,False,True,True
yd-vector-000000.tar::1000036.svg,169,1,0,False,False,False,False,True
yd-vector-000000.tar::1000037.svg,1338,12,7,False,False,False,False,True
yd-vector-000000.tar::1000038.svg,434,1,0,False,False,False,False,True
yd-vector-000000.tar::1000039.svg,114,0,1,True,True,False,True,True
yd-vector-000000.tar::100004.svg,277,1,1,False,False,False,False,True
